doctor_id,doctor_name,department_id,experience_years,consultation_fee
1001,Dr_1,7,7,1162
1002,Dr_2,4,26,1713
1003,Dr_3,8,31,2259
1004,Dr_4,5,19,536
1005,Dr_5,7,16,2303
1006,Dr_6,10,23,1892
1007,Dr_7,3,33,2218
1008,Dr_8,7,5,2048
1009,Dr_9,8,30,778
1010,Dr_10,5,3,716
1011,Dr_11,4,22,1366
1012,Dr_12,8,33,1372
1013,Dr_13,8,31,2321
1014,Dr_14,3,23,1796
1015,Dr_15,6,34,2404
1016,Dr_16,5,25,561
1017,Dr_17,2,3,1095
1018,Dr_18,8,34,2403
1019,Dr_19,6,5,1228
1020,Dr_20,2,34,1865
1021,Dr_21,5,20,896
1022,Dr_22,1,27,1198
1023,Dr_23,10,12,1542
1024,Dr_24,6,33,676
1025,Dr_25,9,24,2135
1026,Dr_26,1,28,895
1027,Dr_27,10,5,944
1028,Dr_28,3,10,1756
1029,Dr_29,7,16,2438
1030,Dr_30,4,26,575
1031,Dr_31,9,20,764
1032,Dr_32,3,34,954
1033,Dr_33,5,17,2319
1034,Dr_34,3,24,1217
1035,Dr_35,7,25,1234
1036,Dr_36,5,4,1907
1037,Dr_37,9,33,2087
1038,Dr_38,7,29,1350
1039,Dr_39,2,12,2029
1040,Dr_40,4,4,1890
1041,Dr_41,9,28,643
1042,Dr_42,2,19,1384
1043,Dr_43,10,10,1592
1044,Dr_44,9,3,1622
1045,Dr_45,10,11,895
1046,Dr_46,5,13,1548
1047,Dr_47,2,24,1447
1048,Dr_48,4,18,1390
1049,Dr_49,7,9,1992
1050,Dr_50,8,31,2007
1051,Dr_51,3,12,2088
1052,Dr_52,1,25,1674
1053,Dr_53,4,28,1667
1054,Dr_54,2,5,1068
1055,Dr_55,8,20,1562
1056,Dr_56,4,27,608
1057,Dr_57,2,26,2216
1058,Dr_58,6,15,1565
1059,Dr_59,6,30,1709
1060,Dr_60,10,28,1434
1061,Dr_61,4,9,897
1062,Dr_62,6,27,1746
1063,Dr_63,2,6,1133
1064,Dr_64,10,15,1656
1065,Dr_65,2,22,1686
1066,Dr_66,10,3,1738
1067,Dr_67,4,10,1232
1068,Dr_68,8,34,734
1069,Dr_69,7,16,2366
1070,Dr_70,9,18,1157
1071,Dr_71,8,16,1250
1072,Dr_72,5,14,1087
1073,Dr_73,2,21,1532
1074,Dr_74,5,25,1597
1075,Dr_75,8,17,1453
1076,Dr_76,10,30,991
1077,Dr_77,9,4,1412
1078,Dr_78,9,4,1776
1079,Dr_79,1,34,1753
1080,Dr_80,9,25,2042
1081,Dr_81,7,33,1697
1082,Dr_82,9,24,2176
1083,Dr_83,8,21,1691
1084,Dr_84,1,27,669
1085,Dr_85,8,28,1916
1086,Dr_86,8,33,1445
